date,road,fixed_corridor,observation_time,time_block,day,weather,temperature,rain_chance,traffic_level,traffic_score,traffic_pattern,congestion_location,day_encoded,traffic_pattern_encoded,traffic_level_encoded,congestion_location_encoded
2026-08-07,third mainland bridge,oworonshole – adekunle,2026-08-19 16:00:00,2026-08-19 16:00:00,Friday,partly cloudy,28.0,0.25,low,1,G,none evident,4,0,0,0
2026-08-07,ikorodu road,unknown,2026-08-19 16:04:00,2026-08-19 16:00:00,Friday,partly cloudy,28.0,0.25,medium,2,G/Y,mixed,4,3,1,3
2026-08-07,lagos-ibadan expy,ojota-berger,2026-08-19 16:06:00,2026-08-19 16:00:00,Friday,partly cloudy,28.0,0.25,low,1,G,none evident,4,0,0,0
2026-08-07,apapa-oshodi expy,mile2-oshodi,2026-08-19 16:07:00,2026-08-19 16:00:00,Friday,partly cloudy,28.0,0.25,low,1,G/Y/R,junction,4,6,0,2
2026-08-07,lekki-epe expy,lekkiphase1-ajah,2026-08-19 16:08:00,2026-08-19 16:00:00,Friday,partly cloudy,28.0,0.25,low,1,G/Y/R,road segment,4,6,0,1
2026-08-07,lagos-badagry expy,mile2-festac,2026-08-19 16:09:00,2026-08-19 16:00:00,Friday,partly cloudy,28.0,0.25,low,1,G/Y,mixed,4,3,0,3
2026-08-07,lagos-abeokuta expy,abule egba-iyana ipaja,2026-08-19 16:10:00,2026-08-19 16:00:00,Friday,partly cloudy,28.0,0.25,low,1,G,none evident,4,0,0,0
2026-08-07,funsho williams avenue,unknown,2026-08-19 16:11:00,2026-08-19 16:00:00,Friday,partly cloudy,28.0,0.25,low,1,G,none evident,4,0,0,0
2026-08-07,lagos-ibadan expy,ojota-berger,2026-08-19 17:03:00,2026-08-19 17:00:00,Friday,partly sunny,28.0,0.15,low,1,G/Y,mixed,4,3,0,3
2026-08-07,apapa-oshodi expy,mile2-oshodi,2026-08-19 17:04:00,2026-08-19 17:00:00,Friday,partly sunny,28.0,0.15,low,1,G/Y,road segment,4,3,0,1
2026-08-07,lekki-epe expy,lekkiphase1-ajah,2026-08-19 17:06:00,2026-08-19 17:00:00,Friday,partly sunny,28.0,0.15,medium,2,Y/R,junction,4,5,1,2
2026-08-07,lagos-badagry expy,mile2-festac,2026-08-19 17:08:00,2026-08-19 17:00:00,Friday,partly sunny,28.0,0.15,low,1,G/Y/R,mixed,4,6,0,3
2026-08-07,lagos-abeokuta expy,abule egba-iyana ipaja,2026-08-19 17:10:00,2026-08-19 17:00:00,Friday,partly sunny,28.0,0.15,low,1,G,none evident,4,0,0,0
2026-08-07,funsho williams avenue,unknown,2026-08-19 17:11:00,2026-08-19 17:00:00,Friday,partly sunny,28.0,0.15,low,1,G/Y,road segment,4,3,0,1
2026-08-07,third mainland bridge,oworonshole – adekunle,2026-08-19 17:12:00,2026-08-19 17:00:00,Friday,partly sunny,28.0,0.15,low,1,G,none evident,4,0,0,0
2026-08-07,ikorodu road,unknown,2026-08-19 17:13:00,2026-08-19 17:00:00,Friday,partly sunny,28.0,0.15,low,1,G,none evident,4,0,0,0
2026-08-07,lekki-epe expy,lekkiphase1-ajah,2026-08-19 18:02:00,2026-08-19 18:00:00,Friday,partly sunny,27.0,0.05,low,1,G,none evident,4,0,0,0
2026-08-07,lagos-badagry expy,mile2-festac,2026-08-19 18:04:00,2026-08-19 18:00:00,Friday,partly sunny,27.0,0.05,medium,2,G/Y,mixed,4,3,1,3
2026-08-07,lagos-abeokuta expy,abule egba-iyana ipaja,2026-08-19 18:06:00,2026-08-19 18:00:00,Friday,partly sunny,27.0,0.05,medium,2,Y,road segment,4,1,1,1
2026-08-07,funsho williams avenue,unknown,2026-08-19 18:07:00,2026-08-19 18:00:00,Friday,partly sunny,27.0,0.05,low,1,G,road segment,4,0,0,1
2026-08-07,third mainland bridge,oworonshole – adekunle,2026-08-19 18:08:00,2026-08-19 18:00:00,Friday,partly sunny,27.0,0.05,low,1,G/Y,mixed,4,3,0,3
2026-08-07,ikorodu road,unknown,2026-08-19 18:09:00,2026-08-19 18:00:00,Friday,partly sunny,27.0,0.05,medium,2,Y,road segment,4,1,1,1
2026-08-07,lagos-ibadan expy,ojota – berger,2026-08-19 18:10:00,2026-08-19 18:00:00,Friday,partly sunny,27.0,0.05,low,1,G,none evident,4,0,0,0
2026-08-07,apapa-oshodi expy,mile2-oshodi,2026-08-19 18:11:00,2026-08-19 18:00:00,Friday,partly sunny,27.0,0.05,low,1,G,none evident,4,0,0,0
2026-08-07,lagos-abeokuta expy,abule egba-iyana ipaja,2026-08-19 19:00:00,2026-08-19 19:00:00,Friday,mostly cloudy,27.0,0.1,medium,2,G/R,mixed,4,4,1,3
2026-08-07,funsho williams avenue,unknown,2026-08-19 19:03:00,2026-08-19 19:00:00,Friday,mostly cloudy,27.0,0.1,low,1,G,none evident,4,0,0,0
2026-08-07,third mainland bridge,oworonshole – adekunle,2026-08-19 19:04:00,2026-08-19 19:00:00,Friday,mostly cloudy,27.0,0.1,medium,2,G/Y,junction,4,3,1,2
2026-08-07,ikorodu road,unknown,2026-08-19 19:05:00,2026-08-19 19:00:00,Friday,mostly cloudy,27.0,0.1,low,1,G/Y/R,junction,4,6,0,2
2026-08-07,lagos-ibadan expy,ojota-berger,2026-08-19 19:06:00,2026-08-19 19:00:00,Friday,mostly cloudy,27.0,0.1,low,1,G/R,mixed,4,4,0,3
2026-08-07,apapa-oshodi expy,mile2-oshodi,2026-08-19 19:07:00,2026-08-19 19:00:00,Friday,mostly cloudy,27.0,0.1,low,1,G,none evident,4,0,0,0
2026-08-07,lekki-epe expy,lekkiphase1-ajah,2026-08-19 19:09:00,2026-08-19 19:00:00,Friday,mostly cloudy,27.0,0.1,medium,2,G/Y/R,road segment,4,6,1,1
2026-08-07,lagos-badagry expy,mile2-festac,2026-08-19 19:11:00,2026-08-19 19:00:00,Friday,mostly cloudy,27.0,0.1,medium,2,G/Y,mixed,4,3,1,3
2026-08-08,ikorodu road,unknown,2026-08-19 07:00:00,2026-08-19 07:00:00,Saturday,light rain,24.0,0.2,low,1,G/Y/R,junction,5,6,0,2
2026-08-08,third mainland bridge,oworonshole – adekunle,2026-08-19 07:01:00,2026-08-19 07:00:00,Saturday,light rain,24.0,0.2,low,1,G/Y,junction,5,3,0,2
2026-08-08,apapa-oshodi expy,mile2-oshodi,2026-08-19 07:02:00,2026-08-19 07:00:00,Saturday,light rain,24.0,0.2,low,1,G,none evident,5,0,0,0
2026-08-08,lagos-ibadan expy,ojota-berger,2026-08-19 07:03:00,2026-08-19 07:00:00,Saturday,light rain,24.0,0.2,low,1,G/R,road segment,5,4,0,1
2026-08-08,lagos-badagry expy,mile2-festac,2026-08-19 07:04:00,2026-08-19 07:00:00,Saturday,light rain,24.0,0.2,low,1,G,none evident,5,0,0,0
2026-08-08,lekki-epe expy,lekkiphase1-ajah,2026-08-19 07:06:00,2026-08-19 07:00:00,Saturday,light rain,24.0,0.2,low,1,G/Y,road segment,5,3,0,1
2026-08-08,funsho williams avenue,unknown,2026-08-19 07:08:00,2026-08-19 07:00:00,Saturday,light rain,24.0,0.2,low,1,G/R,junction,5,4,0,2
2026-08-08,lagos-abeokuta expy,abule egba-iyana ipaja,2026-08-19 07:09:00,2026-08-19 07:00:00,Saturday,light rain,24.0,0.2,low,1,Y/R,mixed,5,5,0,3
2026-08-08,apapa-oshodi expy,mile2-oshodi,2026-08-19 08:04:00,2026-08-19 08:00:00,Saturday,light rain,24.0,0.2,low,1,G,none evident,5,0,0,0
2026-08-08,lagos-ibadan expy,ojota-berger,2026-08-19 08:05:00,2026-08-19 08:00:00,Saturday,light rain,24.0,0.2,low,1,Y/R,mixed,5,5,0,3
2026-08-08,lagos-badagry expy,mile2-festac,2026-08-19 08:06:00,2026-08-19 08:00:00,Saturday,light rain,24.0,0.2,medium,2,G,road segment,5,0,1,1
2026-08-08,lekki-epe expy,lekkiphase1-ajah,2026-08-19 08:07:00,2026-08-19 08:00:00,Saturday,light rain,24.0,0.2,low,1,G/Y,junction,5,3,0,2
2026-08-08,funsho williams avenue,unknown,2026-08-19 08:08:00,2026-08-19 08:00:00,Saturday,light rain,24.0,0.2,low,1,Y/R,mixed,5,5,0,3
2026-08-08,lagos-abeokuta expy,abule egba-iyana ipaja,2026-08-19 08:09:00,2026-08-19 08:00:00,Saturday,light rain,24.0,0.2,medium,2,G/Y/R,mixed,5,6,1,3
2026-08-08,ikorodu road,unknown,2026-08-19 08:10:00,2026-08-19 08:00:00,Saturday,light rain,24.0,0.2,low,1,G/Y/R,mixed,5,6,0,3
2026-08-08,third mainland bridge,oworonshole – adekunle,2026-08-19 08:11:00,2026-08-19 08:00:00,Saturday,light rain,24.0,0.2,low ,1,G/Y,junction,5,3,,2
2026-08-08,lagos-badagry expy,mile2-festac,2026-08-19 09:06:00,2026-08-19 09:00:00,Saturday,cloudy,25.0,0.1,medium,2,Y,none evident,5,1,1,0
