S/N,date,road,fixed_corridor,observation_time,time_block,day,weather,temperature,rain_chance,traffic_level,traffic_score,traffic_pattern,congestion_location
1,07/08/26,third mainland bridge,oworonshole – adekunle,16:00:00,16:00:00,Friday,partly cloudy,28,0.25,low,1,G,none evident
2,07/08/26,ikorodu road,unknown,16:04:00,16:00:00,Friday,partly cloudy,28,0.25,medium,2,G/Y,mixed
3,07/08/26,lagos-ibadan expy,ojota-berger,16:06:00,16:00:00,Friday,partly cloudy,28,0.25,low,1,G,none evident
4,07/08/26,apapa-oshodi expy,mile2-oshodi,16:07:00,16:00:00,Friday,partly cloudy,28,0.25,low,1,G/Y/R,junction
5,07/08/26,lekki-epe expy,lekkiphase1-ajah,16:08:00,16:00:00,Friday,partly cloudy,28,0.25,low,1,G/Y/R,road segment
6,07/08/26,lagos-badagry expy,mile2-festac,16:09:00,16:00:00,Friday,partly cloudy,28,0.25,low,1,G/Y,mixed
7,07/08/26,lagos-abeokuta expy,abule egba-iyana ipaja,16:10:00,16:00:00,Friday,partly cloudy,28,0.25,low,1,G,none evident
8,07/08/26,funsho williams avenue,unknown,16:11:00,16:00:00,Friday,partly cloudy,28,0.25,low,1,G,none evident
9,07/08/26,lagos-ibadan expy,ojota-berger,17:03:00,17:00:00,Friday,partly sunny,28,0.15,low,1,G/Y,mixed
10,07/08/26,apapa-oshodi expy,mile2-oshodi,17:04:00,17:00:00,Friday,partly sunny,28,0.15,low,1,G/Y,road segment
11,07/08/26,lekki-epe expy,lekkiphase1-ajah,17:06:00,17:00:00,Friday,partly sunny,28,0.15,medium,2,Y/R,junction
12,07/08/26,lagos-badagry expy,mile2-festac,17:08:00,17:00:00,Friday,partly sunny,28,0.15,low,1,G/Y/R,mixed
13,07/08/26,lagos-abeokuta expy,abule egba-iyana ipaja,17:10:00,17:00:00,Friday,partly sunny,28,0.15,low,1,G,none evident
14,07/08/26,funsho williams avenue,unknown,17:11:00,17:00:00,Friday,partly sunny,28,0.15,low,1,G/Y,road segment
15,07/08/26,third mainland bridge,oworonshole – adekunle,17:12:00,17:00:00,Friday,partly sunny,28,0.15,low,1,G,none evident
16,07/08/26,ikorodu road,unknown,17:13:00,17:00:00,Friday,partly sunny,28,0.15,low,1,G,none evident
17,07/08/26,lekki-epe expy,lekkiphase1-ajah,18:02:00,18:00:00,Friday,partly sunny,27,0.05,low,1,G,none evident
18,07/08/26,lagos-badagry expy,mile2-festac,18:04:00,18:00:00,Friday,partly sunny,27,0.05,medium,2,G/Y,mixed
19,07/08/26,lagos-abeokuta expy,abule egba-iyana ipaja,18:06:00,18:00:00,Friday,partly sunny,27,0.05,medium,2,Y,road segment
20,07/08/26,funsho williams avenue,unknown,18:07:00,18:00:00,Friday,partly sunny,27,0.05,low,1,G,road segment
21,07/08/26,third mainland bridge,oworonshole – adekunle,18:08:00,18:00:00,Friday,partly sunny,27,0.05,low,1,G/Y,mixed
22,07/08/26,ikorodu road,unknown,18:09:00,18:00:00,Friday,partly sunny,27,0.05,medium,2,Y,road segment
23,07/08/26,lagos-ibadan expy,ojota – berger,18:10:00,18:00:00,Friday,partly sunny,27,0.05,low,1,G,none evident
24,07/08/26,apapa-oshodi expy,mile2-oshodi,18:11:00,18:00:00,Friday,partly sunny,27,0.05,low,1,G,none evident
25,07/08/26,lagos-abeokuta expy,abule egba-iyana ipaja,19:00:00,19:00:00,Friday,mostly cloudy,27,0.1,medium,2,G/R,mixed
26,07/08/26,funsho williams avenue,unknown,19:03:00,19:00:00,Friday,mostly cloudy,27,0.1,low,1,G,none evident
27,07/08/26,third mainland bridge,oworonshole – adekunle,19:04:00,19:00:00,Friday,mostly cloudy,27,0.1,medium,2,G/Y,junction
28,07/08/26,ikorodu road,unknown,19:05:00,19:00:00,Friday,mostly cloudy,27,0.1,low,1,G/Y/R,junction
29,07/08/26,lagos-ibadan expy,ojota-berger,19:06:00,19:00:00,Friday,mostly cloudy,27,0.1,low,1,G/R,mixed
30,07/08/26,apapa-oshodi expy,mile2-oshodi,19:07:00,19:00:00,Friday,mostly cloudy,27,0.1,low,1,G,none evident
